img_path,label
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103722对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103834对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103136对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103658对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104206对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103956对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104033对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103711对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104611对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104125对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104543对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104559对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104014对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103824对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103553对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103323对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103232对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103734对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901103810对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/横条压凹/碰凹20180901104059对照样本.jpg,3
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901141408对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901141448对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101133对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101222对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101731对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101408对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901110542对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101512对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901110602对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101531对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901140848对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101232对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901141500对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901135403对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901140254对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101652对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101212对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901101713对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901141432对照样本.jpg,8
data/guangdong_round1_train1_20180903/瑕疵样本/凸粉/凸粉20180901140351对照样本.jpg,8
